[Trial 1] Config: {'learning_rate': np.float64(1.900437523873714e-05), 'weight_decay': np.float64(1.1220740288380033e-05), 'adam_beta1': 0.8522555704901327, 'adam_beta2': 0.9609373261692923, 'warmup_steps': 427, 'train_batch': 11}
[Trial 1] Config: {'learning_rate': np.float64(1.900437523873714e-05), 'weight_decay': np.float64(1.1220740288380033e-05), 'adam_beta1': 0.8522555704901327, 'adam_beta2': 0.9609373261692923, 'warmup_steps': 427, 'train_batch': 11}
[Trial 2] Config: {'learning_rate': np.float64(2.256311073588911e-05), 'weight_decay': np.float64(0.0006086381003274661), 'adam_beta1': 0.8165183781995891, 'adam_beta2': 0.9706741691645783, 'warmup_steps': 65, 'train_batch': 10}
[Trial 2] Config: {'learning_rate': np.float64(2.256311073588911e-05), 'weight_decay': np.float64(0.0006086381003274661), 'adam_beta1': 0.8165183781995891, 'adam_beta2': 0.9706741691645783, 'warmup_steps': 65, 'train_batch': 10}
[Trial 3] Config: {'learning_rate': np.float64(2.737007261357746e-06), 'weight_decay': np.float64(0.0001024968636013488), 'adam_beta1': 0.8050418342399341, 'adam_beta2': 0.9597430448836457, 'warmup_steps': 382, 'train_batch': 30}
[Trial 3] Config: {'learning_rate': np.float64(2.737007261357746e-06), 'weight_decay': np.float64(0.0001024968636013488), 'adam_beta1': 0.8050418342399341, 'adam_beta2': 0.9597430448836457, 'warmup_steps': 382, 'train_batch': 30}
[Trial 4] Config: {'learning_rate': np.float64(1.2299372681604002e-05), 'weight_decay': np.float64(2.7598230915285763e-05), 'adam_beta1': 0.9119604799364227, 'adam_beta2': 0.9896620923772135, 'warmup_steps': 53, 'train_batch': 32}
[Trial 4] Config: {'learning_rate': np.float64(1.2299372681604002e-05), 'weight_decay': np.float64(2.7598230915285763e-05), 'adam_beta1': 0.9119604799364227, 'adam_beta2': 0.9896620923772135, 'warmup_steps': 53, 'train_batch': 32}
[Trial 5] Config: {'learning_rate': np.float64(4.0892014268894145e-05), 'weight_decay': np.float64(0.00024904555224040015), 'adam_beta1': 0.8646475981384185, 'adam_beta2': 0.9576184954907773, 'warmup_steps': 440, 'train_batch': 18}
[Trial 5] Config: {'learning_rate': np.float64(4.0892014268894145e-05), 'weight_decay': np.float64(0.00024904555224040015), 'adam_beta1': 0.8646475981384185, 'adam_beta2': 0.9576184954907773, 'warmup_steps': 440, 'train_batch': 18}
[Trial 6] Config: {'learning_rate': np.float64(1.6011077254941484e-06), 'weight_decay': np.float64(5.752473163560667e-05), 'adam_beta1': 0.8682060822920794, 'adam_beta2': 0.9668538304014695, 'warmup_steps': 185, 'train_batch': 9}
[Trial 6] Config: {'learning_rate': np.float64(1.6011077254941484e-06), 'weight_decay': np.float64(5.752473163560667e-05), 'adam_beta1': 0.8682060822920794, 'adam_beta2': 0.9668538304014695, 'warmup_steps': 185, 'train_batch': 9}
[Trial 7] Config: {'learning_rate': np.float64(2.8804714390215665e-05), 'weight_decay': np.float64(0.00011815610957838961), 'adam_beta1': 0.9848919951560804, 'adam_beta2': 0.9685481844832093, 'warmup_steps': 332, 'train_batch': 17}
[Trial 7] Config: {'learning_rate': np.float64(2.8804714390215665e-05), 'weight_decay': np.float64(0.00011815610957838961), 'adam_beta1': 0.9848919951560804, 'adam_beta2': 0.9685481844832093, 'warmup_steps': 332, 'train_batch': 17}
