[Trial 1] Config: {'learning_rate': np.float64(1.2727033806056509e-06), 'weight_decay': np.float64(1.4940782894917619e-05), 'adam_beta1': 0.8773759350973757, 'adam_beta2': 0.9552773115119835, 'warmup_steps': 497, 'train_batch': 9}
[Trial 1] Config: {'learning_rate': np.float64(1.2727033806056509e-06), 'weight_decay': np.float64(1.4940782894917619e-05), 'adam_beta1': 0.8773759350973757, 'adam_beta2': 0.9552773115119835, 'warmup_steps': 497, 'train_batch': 9}
[Trial 1] Config: {'learning_rate': np.float64(1.2727033806056509e-06), 'weight_decay': np.float64(1.4940782894917619e-05), 'adam_beta1': 0.8773759350973757, 'adam_beta2': 0.9552773115119835, 'warmup_steps': 497, 'train_batch': 9}
[Trial 1] Config: {'learning_rate': np.float64(1.2727033806056509e-06), 'weight_decay': np.float64(1.4940782894917619e-05), 'adam_beta1': 0.8773759350973757, 'adam_beta2': 0.9552773115119835, 'warmup_steps': 497, 'train_batch': 9}
[Trial 2] Config: {'learning_rate': np.float64(5.731240920209895e-06), 'weight_decay': np.float64(0.0001332408608357952), 'adam_beta1': 0.8647516632966433, 'adam_beta2': 0.9525431810753304, 'warmup_steps': 119, 'train_batch': 18}
[Trial 2] Config: {'learning_rate': np.float64(5.731240920209895e-06), 'weight_decay': np.float64(0.0001332408608357952), 'adam_beta1': 0.8647516632966433, 'adam_beta2': 0.9525431810753304, 'warmup_steps': 119, 'train_batch': 18}
[Trial 2] Config: {'learning_rate': np.float64(5.731240920209895e-06), 'weight_decay': np.float64(0.0001332408608357952), 'adam_beta1': 0.8647516632966433, 'adam_beta2': 0.9525431810753304, 'warmup_steps': 119, 'train_batch': 18}
[Trial 2] Config: {'learning_rate': np.float64(5.731240920209895e-06), 'weight_decay': np.float64(0.0001332408608357952), 'adam_beta1': 0.8647516632966433, 'adam_beta2': 0.9525431810753304, 'warmup_steps': 119, 'train_batch': 18}
[Trial 3] Config: {'learning_rate': np.float64(1.3241098548754205e-05), 'weight_decay': np.float64(0.0002531509596573561), 'adam_beta1': 0.8311176005029485, 'adam_beta2': 0.9943893725825661, 'warmup_steps': 446, 'train_batch': 10}
[Trial 3] Config: {'learning_rate': np.float64(1.3241098548754205e-05), 'weight_decay': np.float64(0.0002531509596573561), 'adam_beta1': 0.8311176005029485, 'adam_beta2': 0.9943893725825661, 'warmup_steps': 446, 'train_batch': 10}
[Trial 3] Config: {'learning_rate': np.float64(1.3241098548754205e-05), 'weight_decay': np.float64(0.0002531509596573561), 'adam_beta1': 0.8311176005029485, 'adam_beta2': 0.9943893725825661, 'warmup_steps': 446, 'train_batch': 10}
